GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ficheros-jackson,com.docencia.ejemplo,SaiyanRace,24,60,1,7,7,17,2,6,1,3
ficheros-jackson,com.docencia.ejrecicios,FabricaDroids,15,107,0,4,11,33,0,8,0,6
ficheros-jackson,com.docencia.ejrecicios,MilleniumFalcon,30,131,4,10,10,37,4,8,0,5
ficheros-jackson,com.docencia.ejrecicios,Tardis,7,132,1,7,5,28,1,9,0,6
ficheros-jackson,com.docencia.ejrecicios,FuerzaThorHulk,182,0,8,0,59,0,12,0,8,0
ficheros-jackson,com.docencia.ejrecicios,BatallaPokemon,29,202,8,18,12,54,9,13,2,7
ficheros-jackson,com.docencia.ejrecicios,CazaHorrocruxes,7,105,1,3,5,28,1,7,0,6
ficheros-jackson,com.docencia.ejrecicios,BatallaMagos,20,172,6,12,7,44,6,12,1,8
ficheros-jackson,com.docencia.ejrecicios,Quidditch,25,177,0,12,14,51,3,11,3,5
ficheros-jackson,com.docencia.ejrecicios,CiudadEnPeligro,34,171,7,9,14,39,6,8,0,6
ficheros-jackson,com.docencia.ejrecicios,ExploradoresJedi,12,86,1,3,6,23,2,6,1,5
